imdb_id,title,genre,imdb_rating,votes,year
tt11407524,hostel daze,"Comedy, Drama",8.5,21525,2019
tt2674806,inside no. 9,"Comedy, Crime, Drama",8.5,21457,2014
tt0346314,ghost in the shell: stand alone complex,"Action, Animation, Crime",8.5,21371,2002
tt7259746,queer eye,Reality-TV,8.5,21364,2018
tt0182629,rurouni kenshin,"Action, Adventure, Animation",8.5,20923,1996
tt6005644,tvf tripling,"Comedy, Drama",8.5,20760,2016
tt1094229,heartland,"Drama, Family",8.5,20691,2007
tt0397150,garth marenghi's darkplace,"Comedy, Fantasy, Horror",8.5,20527,2004
tt3673794,kingdom,"Drama, Sport",8.5,20039,2014
tt2155025,please like me,"Comedy, Drama, Romance",8.5,19993,2013
tt0047708,alfred hitchcock presents,"Crime, Drama, Mystery",8.5,19644,1955
tt12074628,smiling friends,"Animation, Comedy, Short",8.5,19543,2020
tt0493331,barareh nights,Comedy,8.5,18724,2005
tt5425186,horace and pete,"Comedy, Drama",8.5,17764,2016
tt0070644,scenes from a marriage,Drama,8.5,17435,1973
tt4295140,chef's table,"Biography, Documentary",8.5,17279,2015
tt8317568,broken but beautiful,"Drama, Romance",8.5,17230,2018
tt0185133,yu yu hakusho: ghost files,"Action, Adventure, Animation",8.5,16648,1992
tt1230180,the angry video game nerd,"Action, Comedy, Sci-Fi",8.5,16012,2004
tt0131179,detective conan,"Action, Animation, Comedy",8.5,15950,1996
tt6958022,the defiant ones,"Biography, Crime, Documentary",8.5,15787,2017
tt11691684,flower of evil,"Crime, Mystery, Romance",8.5,15389,2020
tt0061287,the prisoner,"Drama, Mystery, Sci-Fi",8.5,15353,1967
tt0934320,summer heights high,"Comedy, Drama, Family",8.5,15262,2007
tt0098825,house of cards,Drama,8.5,15260,1990
tt0807832,mushi-shi,"Animation, Drama, Fantasy",8.5,15012,2005
tt26225038,death's game,"Drama, Fantasy",8.5,14974,2023
tt22185582,sixer,"Drama, Sport",8.5,14134,2022
tt27867155,mr bates vs. the post office,"Biography, Drama",8.5,12849,2024
tt0315008,great teacher onizuka,"Animation, Comedy, Drama",8.5,12141,1999
tt0161952,saint seiya: knights of the zodiac,"Action, Adventure, Animation",8.5,11541,1986
tt12369754,staged,"Comedy, Drama",8.5,10709,2020
tt0062550,the bugs bunny/road runner hour,"Animation, Comedy",8.5,10352,1968
tt11052470,move to heaven,Drama,8.5,10238,2021
tt2301351,rupaul's drag race all stars,"Game-Show, Reality-TV",8.5,10173,2012
tt1632701,suits,"Comedy, Drama",8.4,498129,2011
tt0460681,supernatural,"Drama, Fantasy, Horror",8.4,496756,2005
tt2467372,brooklyn nine-nine,"Comedy, Crime",8.4,379806,2013
tt0285403,scrubs,"Comedy, Drama",8.4,273952,2001
tt5675620,the punisher,"Action, Crime, Drama",8.4,272932,2017
tt12637874,fallout,"Action, Adventure, Drama",8.4,267453,2024
tt5834204,the handmaid's tale,"Drama, Sci-Fi, Thriller",8.4,264528,2017
tt1119644,fringe,"Drama, Mystery, Sci-Fi",8.4,261085,2008
tt3920596,big little lies,"Crime, Drama, Mystery",8.4,230758,2017
tt7221388,cobra kai,"Action, Comedy, Drama",8.4,213561,2018
tt9561862,"love, death & robots","Action, Adventure, Animation",8.4,204783,2019
tt0285331,24,"Action, Crime, Drama",8.4,199441,2001
tt10155688,mare of easttown,"Crime, Drama, Mystery",8.4,196902,2021
tt3006802,outlander,"Adventure, Drama, Fantasy",8.4,183572,2014
tt0387199,entourage,"Comedy, Drama",8.4,178670,2004
tt9253284,andor,"Action, Adventure, Drama",8.4,178135,2022
tt2401256,the night of,"Crime, Drama, Mystery",8.4,177272,2016
tt7657124,the heroes,"Animation, Drama, History",8.4,168600,2008
tt8398600,after life,"Comedy, Drama",8.4,157112,2019
tt1474684,luther,"Crime, Drama, Mystery",8.4,156743,2010
tt0409591,naruto,"Action, Adventure, Animation",8.4,136293,2002
tt2249364,broadchurch,"Crime, Drama, Mystery",8.4,130900,2013
tt2017109,banshee,"Action, Crime, Drama",8.4,130146,2013
tt0458290,star wars: the clone wars,"Action, Adventure, Animation",8.4,126202,2008
tt2149175,the americans,"Crime, Drama, Mystery",8.4,114345,2013
tt0491738,psych,"Comedy, Crime, Mystery",8.4,112559,2006
tt0118480,stargate sg-1,"Action, Adventure, Drama",8.4,103223,1997
tt2788432,american crime story,"Biography, Crime, Drama",8.4,100021,2016
tt9059760,normal people,"Drama, Romance",8.4,97818,2020
tt1220617,the inbetweeners,Comedy,8.4,96189,2008
tt0060028,star trek,"Action, Adventure, Sci-Fi",8.4,95008,1966
tt6473300,mirzapur,"Action, Crime, Drama",8.4,87892,2018
tt1442462,the good wife,"Crime, Drama, Mystery",8.4,84518,2009
tt4189022,ash vs evil dead,"Action, Comedy, Horror",8.4,81457,2015
tt0412253,veronica mars,"Crime, Drama, Mystery",8.4,79291,2004
tt1759761,veep,Comedy,8.4,66139,2012
tt13616990,chainsaw man,"Action, Adventure, Animation",8.4,64399,2022
tt0262150,black books,Comedy,8.4,62602,2000
tt5249462,erased,"Animation, Crime, Drama",8.4,61904,2016
tt0995832,generation kill,"Drama, War",8.4,60579,2008
tt0925266,pushing daisies,"Comedy, Drama, Fantasy",8.4,60133,2007
tt2384811,utopia,"Drama, Mystery, Sci-Fi",8.4,52363,2013
tt0103584,x-men,"Action, Adventure, Animation",8.4,51246,1992
tt5743796,warrior,"Action, Crime, Drama",8.4,47522,2019
tt0319969,carnivàle,"Drama, Fantasy, Mystery",8.4,47467,2003
tt11247158,the legend of vox machina,"Action, Adventure, Animation",8.4,45479,2022
tt1227926,dr. horrible's sing-along blog,"Comedy, Musical, Sci-Fi",8.4,44451,2008
tt1942683,the amazing world of gumball,"Adventure, Animation, Comedy",8.4,44111,2011
tt1830379,top boy,"Crime, Drama, Thriller",8.4,42176,2011
tt0094582,the wonder years,"Comedy, Drama, Family",8.4,41578,1988
tt0056751,doctor who,"Adventure, Drama, Family",8.4,40186,1963
tt0458254,the colbert report,"Comedy, News, Talk-Show",8.4,39287,2005
tt7658402,harley quinn,"Action, Adventure, Animation",8.4,39033,2019
tt0094535,red dwarf,"Comedy, Sci-Fi",8.4,37792,1988
tt0472027,john adams,"Biography, Drama, History",8.4,37523,2008
tt2578560,broad city,Comedy,8.4,36543,2014
